AccessionVersion,Size,TaxPhylum,numBGCs
NC_001756.1,3506,Proteobacteria,0
NC_001757.1,5113,Firmicutes,0
NC_001758.1,1768,Firmicutes,0
NC_001759.1,11143,Actinobacteria,0
NC_001760.1,3130,Bacteroidetes,0
NC_001763.1,6024,Firmicutes,0
NC_001764.1,7837,Firmicutes,0
NC_001765.1,5807,Firmicutes,0
NC_001766.1,8737,Firmicutes,0
NC_001767.1,4439,Firmicutes,0
NC_001772.1,2450,Firmicutes,0
NC_001773.1,3444,Euryarchaeota,0
NC_001774.1,5360,Proteobacteria,0
NC_001787.1,2439,Actinobacteria,0
NC_001791.1,4885,Actinobacteria,0
NC_001797.1,6437,Firmicutes,0
NC_001811.1,8285,Euryarchaeota,0
NC_001843.1,1222,Proteobacteria,0
NC_001845.1,1680,Proteobacteria,0
NC_001848.1,4656,Proteobacteria,0
NC_001849.2,16821,Spirochaetes,0
NC_001850.1,24177,Spirochaetes,0
NC_001851.2,28155,Spirochaetes,0
NC_001852.1,29766,Spirochaetes,0
NC_001853.1,28601,Spirochaetes,0
NC_001854.1,27323,Spirochaetes,0
NC_001855.1,36849,Spirochaetes,0
NC_001856.1,38829,Spirochaetes,0
NC_001857.2,53657,Spirochaetes,0
NC_001858.1,7028,Firmicutes,0
NC_001869.1,191346,Euryarchaeota,0
NC_001898.1,5229,Proteobacteria,0
NC_001903.1,26498,Spirochaetes,0
NC_001904.1,9386,Spirochaetes,0
NC_001910.1,7967,Proteobacteria,0
NC_001911.1,7768,Proteobacteria,0
NC_001949.1,60232,Firmicutes,1
NC_001974.1,2514,Cyanobacteria,0
NC_001988.2,192000,Firmicutes,1
NC_001994.1,1658,Firmicutes,0
NC_001995.1,1551,Firmicutes,0
NC_002002.1,6281,Fusobacteria,0
NC_002013.1,2910,Firmicutes,0
NC_002033.1,184457,Proteobacteria,0
NC_002056.1,9263,Proteobacteria,0
NC_002059.1,2804,Firmicutes,0
NC_002060.1,2287,Cyanobacteria,0
NC_002061.1,1509,Cyanobacteria,0
NC_002062.1,1883,Firmicutes,0
NC_002070.1,3661,Proteobacteria,0
NC_002075.1,7949,Firmicutes,0
NC_002088.1,4839,Proteobacteria,0
NC_002090.1,8255,Proteobacteria,0
NC_002091.1,5415,Firmicutes,0
NC_002092.1,1296,Proteobacteria,0
NC_002093.1,3117,Firmicutes,0
NC_002094.1,3874,Firmicutes,0
NC_002096.1,4118,Firmicutes,0
NC_002097.1,5467,Euryarchaeota,0
NC_002098.1,7426,Proteobacteria,0
NC_002099.1,2444,Actinobacteria,0
NC_002102.1,19360,Firmicutes,0
NC_002108.1,2062,Firmicutes,0
NC_002109.1,4442,Proteobacteria,0
NC_002110.1,3520,Proteobacteria,0
NC_002111.1,3966,Bacteroidetes,0
NC_002112.1,9014,Actinobacteria,0
NC_002113.1,1823,Proteobacteria,0
NC_002114.1,1910,Proteobacteria,0
NC_002115.1,4457,Actinobacteria,0
NC_002118.1,37329,Proteobacteria,0
NC_002119.1,9957,Proteobacteria,1
NC_002120.1,69673,Proteobacteria,0
NC_002121.1,1736,Euryarchaeota,0
NC_002122.1,93399,Proteobacteria,0
NC_002123.1,2295,Firmicutes,0
NC_002124.1,1765,Euryarchaeota,0
NC_002125.1,4439,Euryarchaeota,0
NC_002126.1,19533,Firmicutes,0
NC_002127.1,3306,Proteobacteria,0
NC_002128.1,92721,Proteobacteria,0
NC_002129.1,4557,Firmicutes,0
NC_002130.1,5609,Bacteroidetes,0
NC_002131.1,32601,Proteobacteria,0
NC_002132.1,2311,Bacteroidetes,0
NC_002133.1,5750,Actinobacteria,0
NC_002134.1,94281,Proteobacteria,0
NC_002136.1,5842,Firmicutes,0
NC_002137.1,42810,Firmicutes,0
NC_002138.1,6159,Firmicutes,0
NC_002139.1,4692,Firmicutes,0
NC_002140.1,4975,Firmicutes,0
NC_002141.1,1511,Cyanobacteria,0
NC_002142.1,68817,Proteobacteria,0
NC_002143.1,15398,Proteobacteria,0
NC_002144.1,5919,Proteobacteria,0
NC_002145.1,1549,Proteobacteria,0
NC_002146.1,96231,Firmicutes,0
NC_002147.1,206479,Proteobacteria,1
NC_002148.1,1987,Firmicutes,0
NC_002149.1,9367,Actinobacteria,0
NC_002150.1,6159,Firmicutes,0
NC_002175.1,1995,Proteobacteria,0
NC_002191.1,6127,Firmicutes,0
NC_002192.1,2178,Firmicutes,0
NC_002193.1,3826,Firmicutes,0
NC_002252.1,7258,Proteobacteria,0
NC_002253.1,7786,Proteobacteria,0
NC_002305.1,180461,Proteobacteria,0
NC_002377.1,194140,Proteobacteria,1
NC_002473.1,8784,Proteobacteria,0
NC_002483.1,99159,Proteobacteria,0
NC_002487.1,5847,Proteobacteria,0
NC_002489.3,1286,Proteobacteria,0
NC_002490.1,51158,Proteobacteria,0
NC_002497.1,4807,Proteobacteria,0
NC_002498.1,5643,Proteobacteria,0
NC_002502.1,8694,Firmicutes,0
NC_002518.1,2534,Proteobacteria,0
NC_002522.1,7610,Actinobacteria,0
NC_002525.1,75582,Proteobacteria,0
NC_002575.1,217594,Proteobacteria,1
NC_002576.1,80609,Actinobacteria,0
NC_002579.1,25407,Proteobacteria,0
NC_002580.1,3555,Actinobacteria,0
NC_002608.1,365425,Euryarchaeota,2
NC_002610.1,5258,Proteobacteria,0
NC_002611.1,6868,Actinobacteria,0
NC_002630.1,36804,Firmicutes,0
NC_002632.1,4675,Proteobacteria,0
NC_002635.1,3625,Actinobacteria,0
NC_002636.1,5112,Proteobacteria,0
NC_002637.1,4992,Proteobacteria,0
NC_002638.1,49503,Proteobacteria,0
NC_002650.1,3649,Spirochaetes,0
NC_002675.1,3325,Firmicutes,0
NC_002679.1,351911,Proteobacteria,1
NC_002682.1,208315,Proteobacteria,1
NC_002698.1,221851,Proteobacteria,0
NC_002748.1,6094,Firmicutes,0
NC_002757.1,5640,Firmicutes,0
NC_002759.1,39554,Proteobacteria,0
NC_002760.1,4379,Proteobacteria,0
NC_002773.1,3179,Proteobacteria,0
NC_002774.1,25107,Firmicutes,0
NC_002775.1,7617,Actinobacteria,0
NC_002776.1,4139,Firmicutes,0
NC_002798.1,7784,Firmicutes,0
NC_002799.1,4640,Firmicutes,0
NC_002806.1,101648,Bacteroidetes,0
NC_002809.1,5210,Proteobacteria,0
NC_002810.1,5658,Firmicutes,0
NC_003026.1,3373,Euryarchaeota,0
NC_003037.1,1354226,Proteobacteria,1
NC_003042.1,54310,Firmicutes,0
NC_003064.2,542868,Proteobacteria,0
NC_003065.3,214233,Proteobacteria,1
NC_003078.1,1683333,Proteobacteria,2
NC_003079.1,4091,Proteobacteria,0
NC_003080.1,14323,Actinobacteria,1
NC_003091.1,4975,Fusobacteria,0
NC_003099.1,3948,Firmicutes,0
NC_003101.1,8278,Firmicutes,0
NC_003114.1,3172,Proteobacteria,0
NC_003123.1,11851,Proteobacteria,0
NC_003124.1,11823,Proteobacteria,0
NC_003125.1,4242,Proteobacteria,0
NC_003131.1,70305,Proteobacteria,0
NC_003132.1,9612,Proteobacteria,0
NC_003134.1,96210,Proteobacteria,0
NC_003140.1,24653,Firmicutes,1
NC_003201.1,2544,Firmicutes,0
NC_003227.1,27856,Actinobacteria,0
NC_003239.1,4191,Actinobacteria,0
NC_003240.1,186614,Cyanobacteria,0
NC_003241.1,5584,Cyanobacteria,0
NC_003265.1,38211,Firmicutes,1
NC_003267.1,101965,Cyanobacteria,0
NC_003270.1,40340,Cyanobacteria,0
NC_003273.1,55414,Cyanobacteria,0
NC_003276.1,408101,Cyanobacteria,1
NC_003277.2,93933,Proteobacteria,0
NC_003292.1,50969,Proteobacteria,0
NC_003296.1,2094509,Proteobacteria,7
NC_003319.1,7686,Actinobacteria,0
NC_003320.2,18664,Firmicutes,1
NC_003350.1,116580,Proteobacteria,0
NC_003374.1,4340,Proteobacteria,0
NC_003383.1,81905,Firmicutes,0
NC_003384.1,218160,Proteobacteria,0
NC_003385.1,106516,Proteobacteria,0
NC_003411.1,5621,Proteobacteria,0
NC_003442.1,10904,Actinobacteria,0
NC_003455.1,4301,Proteobacteria,0
NC_003456.1,4245,Proteobacteria,0
NC_003457.1,5269,Proteobacteria,0
NC_003458.1,13913,Firmicutes,1
NC_003486.1,11354,Proteobacteria,0
NC_003490.1,14875,Actinobacteria,0
NC_003526.1,2331,Actinobacteria,0
NC_003527.1,4488,Actinobacteria,0
NC_003528.1,4523,Firmicutes,0
NC_003789.1,3564,Proteobacteria,0
NC_003846.1,5936,Actinobacteria,0
NC_003892.2,5924,Proteobacteria,0
NC_003893.1,2061,Firmicutes,0
NC_003894.1,9253,Firmicutes,0
NC_003905.1,217182,Proteobacteria,0
NC_003921.3,33700,Proteobacteria,0
NC_003922.1,64920,Proteobacteria,0
NC_003969.1,2391,Firmicutes,0
NC_004041.2,371254,Proteobacteria,3
NC_004058.1,32379,Proteobacteria,0
NC_004059.1,4671,Firmicutes,0
NC_004073.2,46366,Cyanobacteria,0
NC_004160.1,2697,Proteobacteria,0
NC_004163.1,7344,Firmicutes,0
NC_004164.2,7412,Firmicutes,0
NC_004252.1,10073,Actinobacteria,0
NC_004253.1,3661,Actinobacteria,0
NC_004308.1,2723,Proteobacteria,0
NC_004319.1,23743,Actinobacteria,0
NC_004320.1,48672,Actinobacteria,1
NC_004334.1,6829,Firmicutes,0
NC_004335.1,8254,Firmicutes,0
NC_004338.1,6371,Proteobacteria,0
NC_004339.1,5424,Proteobacteria,0
NC_004340.1,5249,Proteobacteria,0
NC_004341.2,3353,Firmicutes,0
NC_004345.1,1338,Proteobacteria,0
NC_004349.1,161613,Proteobacteria,0
NC_004429.1,6349,Proteobacteria,0
NC_004443.1,3624,Actinobacteria,0
NC_004444.1,199035,Proteobacteria,0
NC_004445.1,35904,Proteobacteria,0
NC_004457.1,40991,Proteobacteria,0
NC_004458.1,5648,Proteobacteria,0
NC_004464.2,89468,Proteobacteria,0
NC_004526.2,3539,Actinobacteria,0
NC_004527.1,3431,Proteobacteria,0
NC_004528.1,9935,Firmicutes,0
NC_004531.1,3918,Euryarchaeota,0
NC_004532.1,4523,Firmicutes,0
NC_004533.1,4603,Actinobacteria,0
NC_004534.1,6758,Actinobacteria,0
NC_004535.1,19218,Actinobacteria,0
NC_004554.1,1346,Proteobacteria,0
NC_004555.1,2399,Proteobacteria,0
NC_004562.1,2650,Firmicutes,0
NC_004564.1,66591,Proteobacteria,0
NC_004565.1,74082,Firmicutes,0
NC_004566.1,19389,Firmicutes,0
NC_004574.1,148650,Proteobacteria,1
NC_004604.2,53865,Firmicutes,0
NC_004632.1,67473,Proteobacteria,0
NC_004633.1,73661,Proteobacteria,0
NC_004652.1,7302,Firmicutes,0
NC_004653.1,7264,Firmicutes,0
NC_004669.1,66320,Firmicutes,0
NC_004670.1,17963,Firmicutes,0
NC_004671.1,57660,Firmicutes,0
NC_004703.1,33038,Bacteroidetes,0
NC_004704.2,37319,Proteobacteria,0
NC_004719.1,94287,Actinobacteria,0
NC_004721.2,15274,Firmicutes,0
NC_004734.1,14155,Proteobacteria,0
NC_004747.1,3531,Firmicutes,0
NC_004758.1,7245,Proteobacteria,0
NC_004767.1,3955,Proteobacteria,0
NC_004768.1,10224,Actinobacteria,0
NC_004769.1,3684,Actinobacteria,0
NC_004770.1,3538,Actinobacteria,0
NC_004771.1,6792,Proteobacteria,0
NC_004772.1,5252,Proteobacteria,0
NC_004773.1,11946,Actinobacteria,0
NC_004774.1,19934,Actinobacteria,1
NC_004808.2,210614,Actinobacteria,1
NC_004811.1,3407,Bacteroidetes,0
NC_004832.1,8971,Firmicutes,1
NC_004833.1,1488,Actinobacteria,0
NC_004834.1,29593,Proteobacteria,0
NC_004835.1,100984,Proteobacteria,0
NC_004836.1,70504,Proteobacteria,0
NC_004837.1,9610,Proteobacteria,0
NC_004838.1,100990,Proteobacteria,0
NC_004839.1,70559,Proteobacteria,0
NC_004843.1,2308,Proteobacteria,0
NC_004845.1,7817,Proteobacteria,0
NC_004846.1,32433,Proteobacteria,0
NC_004847.1,13433,Firmicutes,0
NC_004849.1,8716,Firmicutes,0
NC_004850.1,8140,Firmicutes,0
NC_004851.1,221618,Proteobacteria,0
NC_004854.1,80610,Actinobacteria,0
NC_004900.1,4970,Actinobacteria,0
NC_004922.1,5670,Firmicutes,0
NC_004923.1,5424,Proteobacteria,0
NC_004924.1,5616,Proteobacteria,0
NC_004925.1,5247,Proteobacteria,0
NC_004929.1,76093,Proteobacteria,0
NC_004930.1,3854,Firmicutes,0
NC_004931.1,12855,Actinobacteria,0
NC_004932.1,7607,Firmicutes,0
NC_004933.1,50410,Actinobacteria,0
NC_004934.1,96742,Actinobacteria,0
NC_004936.1,5622,Proteobacteria,0
NC_004937.1,8713,Firmicutes,0
NC_004938.1,1786,Firmicutes,0
NC_004939.1,51409,Actinobacteria,0
NC_004940.1,1711,Proteobacteria,0
NC_004941.1,5949,Actinobacteria,0
NC_004942.1,12959,Firmicutes,0
NC_004943.1,3626,Actinobacteria,0
NC_004944.1,10877,Firmicutes,0
NC_004945.1,29371,Actinobacteria,0
NC_004947.1,4392,Firmicutes,0
NC_004949.1,18291,Proteobacteria,0
NC_004950.1,10970,Proteobacteria,0
NC_004952.1,3990,Proteobacteria,0
NC_004953.1,7580,Actinobacteria,0
NC_004954.1,50709,Actinobacteria,0
NC_004955.1,10899,Firmicutes,1
NC_004957.1,4234,Firmicutes,0
NC_004958.1,4230,Firmicutes,0
NC_004959.1,10836,Firmicutes,0
NC_004960.1,7858,Firmicutes,0
NC_004961.1,6886,Proteobacteria,0
NC_004962.1,1410,Firmicutes,0
NC_004963.1,22688,Actinobacteria,0
NC_004964.1,4194,Cyanobacteria,0
NC_004965.1,7212,Proteobacteria,0
NC_004966.1,20331,Firmicutes,0
NC_004968.1,2672,Firmicutes,0
NC_004969.1,3138,Proteobacteria,0
NC_004971.1,21170,Spirochaetes,0
NC_004972.1,8288,Proteobacteria,0
NC_004974.1,5887,Fusobacteria,0
NC_004977.1,1527,Firmicutes,0
NC_004978.1,4960,Actinobacteria,0
NC_004979.1,1882,Firmicutes,0
NC_004980.1,2846,Firmicutes,0
NC_004981.2,2047,Firmicutes,0
NC_004982.1,4719,Proteobacteria,0
NC_004984.1,8018,Cyanobacteria,0
NC_004985.1,2862,Firmicutes,0
NC_004986.1,2100,Firmicutes,0
NC_004987.1,1851,Proteobacteria,0
NC_004988.1,16933,Spirochaetes,0
NC_004990.1,7835,Cyanobacteria,0
NC_004992.1,2926,Firmicutes,0
NC_004997.1,4013,Proteobacteria,0
NC_004998.1,125491,Proteobacteria,0
NC_004999.1,83042,Proteobacteria,0
NC_005000.1,24873,Firmicutes,0
NC_005001.1,15100,Actinobacteria,0
NC_005002.1,1983,Proteobacteria,0
NC_005003.1,6585,Firmicutes,0
NC_005004.1,24365,Firmicutes,1
NC_005005.1,17261,Firmicutes,0
NC_005006.1,8007,Firmicutes,0
NC_005007.1,4679,Firmicutes,0
NC_005008.1,4439,Firmicutes,0
NC_005009.1,2297,Proteobacteria,0
NC_005010.1,9328,Firmicutes,1
NC_005011.1,20654,Firmicutes,1
NC_005012.1,37468,Proteobacteria,0
NC_005013.1,9759,Firmicutes,0
NC_005014.1,120826,Proteobacteria,0
NC_005015.1,7086,Proteobacteria,0
NC_005016.1,12868,Actinobacteria,0
NC_005017.1,67720,Proteobacteria,0
NC_005018.1,4196,Proteobacteria,0
NC_005019.1,6293,Proteobacteria,0
NC_005020.1,2979,Firmicutes,0
NC_005021.1,3162,Firmicutes,0
NC_005022.1,3161,Firmicutes,0
NC_005023.1,19792,Proteobacteria,0
NC_005024.1,46445,Firmicutes,0
NC_005026.1,2747,Bacteroidetes,0
NC_005054.1,57889,Firmicutes,0
NC_005073.1,210205,Actinobacteria,0
NC_005076.1,17108,Firmicutes,0
NC_005088.1,67066,Proteobacteria,0
NC_005098.1,2911,Firmicutes,0
NC_005127.1,21845,Firmicutes,0
NC_005128.1,48508,Proteobacteria,0
NC_005205.1,72601,Proteobacteria,0
NC_005206.1,9304,Actinobacteria,0
NC_005207.3,30201,Firmicutes,1
NC_005208.1,2779,Firmicutes,0
NC_005211.1,274762,Proteobacteria,0
NC_005229.1,119895,Cyanobacteria,0
NC_005230.1,103307,Cyanobacteria,0
NC_005231.1,44343,Cyanobacteria,0
NC_005232.1,106004,Cyanobacteria,0
NC_005239.1,2538,Euryarchaeota,0
NC_005240.1,37106,Proteobacteria,0
NC_005241.1,452156,Proteobacteria,1
NC_005242.1,11066,Firmicutes,0
NC_005243.1,4608,Firmicutes,0
NC_005244.2,101858,Proteobacteria,0
NC_005245.1,6286,Proteobacteria,0
NC_005246.1,60145,Proteobacteria,0
NC_005247.1,30314,Proteobacteria,0
NC_005248.1,8145,Proteobacteria,0
NC_005249.1,219385,Proteobacteria,1
NC_005250.1,65009,Proteobacteria,1
NC_005297.1,8427,Proteobacteria,0
NC_005307.1,101016,Actinobacteria,0
NC_005308.1,7853,Firmicutes,0
NC_005311.1,9150,Firmicutes,0
NC_005312.1,8124,Proteobacteria,0
NC_005322.1,8144,Firmicutes,0
NC_005323.1,4449,Firmicutes,0
NC_005324.1,6222,Proteobacteria,0
NC_005325.1,3510,Proteobacteria,0
NC_005326.1,6830,Firmicutes,0
NC_005327.1,92353,Proteobacteria,0
NC_005328.1,19167,Firmicutes,0
NC_005329.1,5568,Proteobacteria,0
NC_005563.1,2158,Euryarchaeota,0
NC_005564.1,4397,Firmicutes,0
NC_005565.1,1288,Firmicutes,0
NC_005566.1,8013,Firmicutes,0
NC_005567.1,11365,Firmicutes,0
NC_005570.1,2682,Proteobacteria,0
NC_005701.1,1669,Proteobacteria,0
NC_005702.1,2665,Firmicutes,0
NC_005703.1,3476,Firmicutes,0
NC_005704.1,3377,Firmicutes,0
NC_005705.1,6868,Actinobacteria,0
NC_005706.1,28185,Proteobacteria,0
NC_005707.1,208369,Firmicutes,0
NC_005792.1,9328,Deinococcus-Thermus,0
NC_005793.2,76958,Proteobacteria,0
NC_005813.1,70159,Proteobacteria,0
NC_005814.1,21742,Proteobacteria,0
NC_005815.1,106642,Proteobacteria,0
NC_005816.1,9609,Proteobacteria,0
NC_005838.1,232605,Deinococcus-Thermus,1
NC_005862.1,6066,Proteobacteria,0
NC_005863.1,202301,Proteobacteria,1
NC_005871.1,80033,Proteobacteria,0
NC_005908.1,3728,Firmicutes,0
NC_005909.1,32743,Proteobacteria,0
NC_005910.1,5113,Proteobacteria,0
NC_005911.1,5216,Proteobacteria,0
NC_005915.1,49112,Proteobacteria,0
NC_005916.1,174155,Actinobacteria,1
NC_005917.1,12120,Proteobacteria,0
NC_005918.1,46697,Proteobacteria,0
NC_005919.1,40110,Proteobacteria,0
NC_005920.1,4833,Proteobacteria,0
NC_005921.1,8244,Proteobacteria,0
NC_005922.1,4217,Proteobacteria,0
NC_005923.1,6464,Proteobacteria,0
NC_005951.1,20652,Firmicutes,1
NC_005952.1,23381,Firmicutes,0
NC_005970.1,5360,Proteobacteria,0
NC_006128.1,27108,Spirochaetes,0
NC_006129.1,55560,Spirochaetes,0
NC_006130.1,3351,Firmicutes,0
NC_006134.1,44707,Proteobacteria,0
NC_006135.1,45205,Proteobacteria,0
NC_006139.1,121587,Proteobacteria,0
NC_006140.1,14664,Proteobacteria,0
NC_006143.1,84749,Proteobacteria,0
NC_006145.1,1828,Firmicutes,0
NC_006153.2,68525,Proteobacteria,0
NC_006154.1,27702,Proteobacteria,0
NC_006257.1,4935,Firmicutes,0
NC_006258.1,5987,Actinobacteria,0
NC_006277.2,44420,Proteobacteria,0
NC_006278.1,7222,Firmicutes,0
NC_006297.1,33716,Bacteroidetes,0
NC_006298.1,5178,Proteobacteria,0
NC_006323.1,137036,Proteobacteria,0
NC_006362.1,184026,Actinobacteria,0
NC_006363.1,87093,Actinobacteria,0
NC_006365.1,131885,Proteobacteria,1
NC_006366.1,59832,Proteobacteria,1
NC_006374.1,2725,Proteobacteria,0
NC_006375.1,1917,Firmicutes,0
NC_006376.1,2365,Firmicutes,0
NC_006377.1,36069,Firmicutes,0
NC_006389.1,33303,Euryarchaeota,0
NC_006390.1,33452,Euryarchaeota,0
NC_006391.1,39521,Euryarchaeota,0
NC_006392.1,50060,Euryarchaeota,0
NC_006393.1,132678,Euryarchaeota,0
NC_006394.1,155300,Euryarchaeota,0
NC_006395.1,410554,Euryarchaeota,0
NC_006399.1,2899,Firmicutes,0
NC_006426.2,3463,Euryarchaeota,0
NC_006427.1,2235,Firmicutes,0
NC_006462.1,256992,Deinococcus-Thermus,1
NC_006463.1,9322,Deinococcus-Thermus,0
NC_006466.1,233755,Proteobacteria,0
NC_006509.1,47890,Firmicutes,0
NC_006525.1,171461,Proteobacteria,0
NC_006529.1,20417,Firmicutes,0
NC_006530.1,44013,Firmicutes,0
NC_006569.1,491611,Proteobacteria,1
NC_006571.1,36955,Actinobacteria,0
NC_006578.1,77112,Firmicutes,0
NC_006625.1,224152,Proteobacteria,1
NC_006628.1,8266,Proteobacteria,0
NC_006629.2,4440,Firmicutes,0
NC_006663.1,27310,Firmicutes,0
NC_006671.1,101375,Proteobacteria,0
NC_006672.1,163186,Proteobacteria,0
NC_006673.1,26568,Proteobacteria,0
NC_006674.1,14547,Proteobacteria,0
NC_006675.1,13223,Proteobacteria,0
NC_006676.1,2687,Proteobacteria,0
NC_006815.1,3208,Proteobacteria,0
NC_006816.1,84514,Proteobacteria,0
NC_006821.1,6700,Firmicutes,0
NC_006822.1,1822,Firmicutes,0
NC_006823.1,207355,Proteobacteria,0
NC_006824.1,223670,Proteobacteria,0
NC_006825.1,6611,Firmicutes,0
NC_006826.1,5683,Proteobacteria,0
NC_006827.2,67673,Firmicutes,0
NC_006828.1,5147,Proteobacteria,0
NC_006829.1,9462,Proteobacteria,0
NC_006830.1,98192,Proteobacteria,0
NC_006842.1,45849,Proteobacteria,0
NC_006843.1,3624,Actinobacteria,0
NC_006855.1,49558,Proteobacteria,0
NC_006856.1,138742,Proteobacteria,0
NC_006857.1,1447,Firmicutes,0
NC_006860.1,4906,Proteobacteria,0
NC_006868.1,5198,Proteobacteria,0
NC_006869.1,9698,Firmicutes,0
NC_006870.1,14218,Firmicutes,0
NC_006871.1,6913,Firmicutes,0
NC_006872.1,36695,Firmicutes,0
NC_006873.1,36560,Bacteroidetes,0
NC_006877.1,9540,Proteobacteria,0
NC_006881.1,8318,Proteobacteria,0
NC_006904.1,3926,Firmicutes,0
NC_006910.1,11188,Actinobacteria,0
NC_006911.1,35159,Actinobacteria,0
NC_006912.1,39360,Actinobacteria,0
NC_006959.1,3649,Firmicutes,0
NC_006968.1,4150,Proteobacteria,0
NC_006969.2,4367,Actinobacteria,0
NC_006970.2,2773,Actinobacteria,0
NC_006974.1,4431,Firmicutes,0
NC_006975.1,3634,Proteobacteria,0
NC_006976.1,5317,Proteobacteria,0
NC_006977.1,4555,Firmicutes,0
NC_006978.1,19203,Firmicutes,0
NC_006979.1,28975,Firmicutes,0
NC_006988.1,3084,Proteobacteria,0
NC_006989.1,1782,Proteobacteria,0
NC_006994.1,10874,Proteobacteria,0
NC_006996.1,1668,Euryarchaeota,0
NC_006997.1,3682,Actinobacteria,0
NC_007068.1,2540,Actinobacteria,0
NC_007093.1,8696,Proteobacteria,0
NC_007094.1,8632,Proteobacteria,0
NC_007095.1,8751,Proteobacteria,0
NC_007096.1,11115,Proteobacteria,0
NC_007097.1,4556,Proteobacteria,0
NC_007098.1,3156,Proteobacteria,0
NC_007099.1,4244,Proteobacteria,0
NC_007100.1,57121,Proteobacteria,0
NC_007103.1,466370,Firmicutes,0
NC_007104.1,5108,Firmicutes,0
NC_007105.1,53501,Firmicutes,0
NC_007106.1,8191,Firmicutes,0
NC_007107.1,9150,Firmicutes,0
NC_007141.1,45210,Proteobacteria,0
NC_007142.1,3316,Proteobacteria,0
NC_007143.1,2426,Proteobacteria,0
NC_007165.1,5767,Firmicutes,0
NC_007166.1,3552,Firmicutes,0
NC_007167.1,5550,Firmicutes,0
NC_007169.1,2300,Firmicutes,0
NC_007170.1,2366,Firmicutes,0
NC_007171.1,8180,Firmicutes,1
NC_007182.1,81553,Proteobacteria,1
NC_007183.1,81553,Proteobacteria,1
NC_007184.1,27240,Proteobacteria,0
NC_007185.1,27240,Proteobacteria,0
NC_007186.1,19201,Proteobacteria,0
NC_007187.1,10816,Proteobacteria,0
NC_007190.1,10402,Deinococcus-Thermus,0
NC_007191.1,8663,Firmicutes,0
NC_007203.1,6909,Firmicutes,0
NC_007206.1,32628,Proteobacteria,0
NC_007207.1,4661,Firmicutes,0
NC_007208.1,80156,Proteobacteria,0
NC_007209.1,2473,Firmicutes,0
NC_007274.1,131950,Proteobacteria,1
NC_007275.1,51711,Proteobacteria,0
NC_007293.1,4484,Proteobacteria,0
NC_007322.2,181677,Firmicutes,0
NC_007323.3,94830,Firmicutes,0
NC_007351.1,38454,Firmicutes,0
NC_007352.1,22870,Firmicutes,0
NC_007353.2,46557,Proteobacteria,0
NC_007365.1,165548,Proteobacteria,0
NC_007385.1,214396,Proteobacteria,0
NC_007414.1,92077,Proteobacteria,0
NC_007427.1,130989,Euryarchaeota,0
